"","N","layer_N","y_bar","y_bar1","rmse","rmse1","rang","R_squared","y_min","y_max","sum_f","nrmse_mean_not_sum","y_bar2"
"1","10_1",10,64461.4299622704,66095.0881661717,12842.8560922759,13004.5773348943,212452.472222223,0.922301233463431,7768.44444444445,220220.916666667,11217.3552357839,0.199560580641363,65166.0628221224
"2","10_10",10,64138.5369877807,65764.0120539969,12735.0319900055,12895.3954779564,245486.489285714,0.921676186086563,6647.71904761905,252134.208333333,11120.2960164122,0.197885140201822,65166.0628221224
"3","10_100",10,63093.5537643068,64692.5456231699,14606.8191033974,14790.752717473,260690.375,0.902604352736031,7214.16666666667,267904.541666667,8757.69233324966,0.2269701755321,65166.0628221224
"4","10_11",10,66308.5782785921,67989.0491114181,13790.4842726037,13964.1383443189,277315.0875,0.915646690550745,6732.4125,284047.5,10257.8799601335,0.214285438456447,65166.0628221224
"5","10_12",10,65740.5653018865,67406.6408744792,15879.191343268,16079.1470647492,332254.798757003,0.893544407127766,5467.2012429972,337722,7931.94083986895,0.246741115979937,65166.0628221224
"6","10_13",10,64450.8462907427,66084.2362706559,12417.4049177498,12573.7687467117,219438.650793651,0.922763423706018,7706.76587301587,227145.416666667,11290.1358040923,0.192949645907458,65166.0628221224
"7","10_14",10,65371.7946719266,67028.5244207399,15217.2646235211,15408.8851576521,242764.5,0.897096567386913,5908.65,248673.15,8238.36712394388,0.236455671715388,65166.0628221224
"8","10_15",10,65092.7597682468,66742.4178827536,13826.6078635345,14000.716814754,219134.067307692,0.905880791912912,7008.05769230769,226142.125,9095.45846970572,0.214846750109339,65166.0628221224
"9","10_16",10,65049.3049779954,66768.3669488727,13708.0977363085,13888.0489630964,277114.880952381,0.916118794105511,6932.61904761905,284047.5,10310.0108351258,0.213117815649003,65166.0628221224
"10","10_17",10,64608.9879954772,66246.3857905051,13755.2702091384,13928.4808544023,329762.583333333,0.916005450090085,7959.41666666667,337722,10305.7299701412,0.213738259627892,65166.0628221224
"11","10_18",10,65602.0831748649,67264.6491687369,15376.8117983589,15570.4414001915,430814.770833334,0.894538750124573,8520.64583333334,439335.416666667,8015.63721145213,0.238934818613987,65166.0628221224
"12","10_19",10,64004.1937888172,65695.6365422214,15479.636711875,15682.8435805534,279391.711057092,0.882217327264619,7533.75560957368,286925.466666666,7070.76123844514,0.24065967623917,65166.0628221224
"13","10_2",10,63786.64098231,65403.1978815449,11484.3048090324,11628.9187508987,279250.904166666,0.942184185367709,7674.5625,286925.466666666,15400.0088182655,0.178450534638575,65166.0628221224
"14","10_20",10,62894.8451668566,64556.9710962133,12398.2962872903,12561.053270053,211400.40625,0.92175471999623,8820.51041666666,220220.916666667,11120.6254950396,0.192754521695437,65166.0628221224
