"","N","layer_N","y_bar","y_bar1","rmse","rmse1","rang","R_squared","y_min","y_max","sum_f","nrmse_mean_not_sum","y_bar2"
"1","10_1",10,117426.778831209,117544.874820647,19617.8286939944,19627.6910299474,340056.010119048,0.884589043660729,10880.7875,350936.797619048,22848.4367758016,0.169032574922933,116117.801784042
"2","10_10",10,123254.788269953,123378.745482427,23816.3657187102,23828.3387562752,331670.625,0.858369967366336,11798.875,343469.5,18066.79575749,0.205208317675456,116117.801784042
"3","10_100",10,113668.692338433,113859.34764259,19071.2745816001,19087.2619048717,338725.902777778,0.887001774722243,12376.375,351102.277777778,23384.2459065391,0.164378429591447,116117.801784042
"4","10_11",10,115387.235621199,115542.013938598,20291.4379300248,20305.0426502458,351833.4875,0.872320727585907,10880.7875,362714.275,20359.7319992175,0.174865889108111,116117.801784042
"5","10_12",10,116314.516331205,116392.475122312,19455.3310173888,19461.8498083298,325117.99375,0.890113108459808,11330,336447.99375,24154.9947607382,0.167604359618565,116117.801784042
"6","10_13",10,118145.034524537,118224.220204514,20649.5789389604,20656.4978799953,303550.958333334,0.87476755762212,10587.2708333334,314138.229166667,20829.7211752689,0.177892601845948,116117.801784042
"7","10_14",10,116829.009527133,116907.313152822,18911.8854192194,18918.2221208277,298646.333333333,0.889804223837572,13113.375,311759.708333333,24078.9283209236,0.162922668446757,116117.801784042
"8","10_15",10,117254.941999,117333.531102217,20000.4213989594,20007.1228303416,359644.333653846,0.889314077434026,10880.7875,370525.121153846,23959.0954064425,0.172300220318942,116117.801784042
"9","10_16",10,117994.564693424,118232.137642471,20885.3588025624,20906.3737588792,380577.175,0.877781853686837,9836.75,390413.925,21388.2671201819,0.180044518908146,116117.801784042
"10","10_17",10,119828.573970362,119908.888027983,20325.3197110381,20332.1300043138,331670.625,0.881440720514021,11798.875,343469.5,22169.9747161811,0.175099163882967,116117.801784042
"11","10_18",10,116934.606115822,117209.376925761,19064.9743409472,19087.3604629567,324009.74375,0.899102485181063,12438.25,336447.99375,26528.1865781064,0.164379278368151,116117.801784042
"12","10_19",10,118049.936968575,118129.058910243,19397.8354952174,19404.3350214495,290714.875,0.890340263532658,11368.9583333334,302083.833333333,24211.2077904278,0.167109045497933,116117.801784042
"13","10_2",10,124103.916169765,124353.789826482,21278.7347894338,21300.1455627082,323023.410416667,0.896835002755504,13424.5833333334,336447.99375,25888.3798724512,0.183435659609908,116117.801784042
"14","10_20",10,111864.317900605,112014.370640914,19375.7651273561,19388.7559200508,304789.179326923,0.887103259357145,9405.9625,314195.141826923,23415.8018896854,0.166974879149972,116117.801784042
"15","10_21",10,111320.41248093,111507.129039939,19482.8847600152,19499.2171333754,309991.6875,0.888411137794877,10513.25,320504.9375,23717.212696604,0.167926164927239,116117.801784042
"16","10_22",10,119345.383968661,119545.560728085,21226.6103788077,21244.4045058145,358343.996153846,0.878055674176133,12181.125,370525.121153846,21450.180938708,0.182955620752495,116117.801784042
"17","10_23",10,112584.906318515,112773.74379976,20423.3802152906,20440.5009997669,287033.961805555,0.872183674936209,10128.4791666667,297162.440972222,20327.881953563,0.176032448821091,116117.801784042
"18","10_24",10,118728.119803891,118847.524550593,19730.6213168754,19740.5403562871,299387.392857143,0.885355430922787,9403.625,308791.017857143,23021.1039286415,0.170004426995621,116117.801784042
"19","10_25",10,120563.300643344,120684.551029509,20300.4720530828,20310.6775696318,341080.110119048,0.881804193008061,9856.6875,350936.797619048,22239.8608398714,0.174914416717998,116117.801784042
"20","10_26",10,117568.334628942,117647.133780838,21317.6515543766,21324.7943428345,328533.333333333,0.86047829642913,10270.7916666667,338804.125,18391.0188471021,0.183647933522672,116117.801784042
"21","10_27",10,120722.342990399,120843.753325287,21933.5613853509,21944.5878936563,359842.541666667,0.869572463115154,11292.875,371135.416666667,19874.6029746381,0.188985560839924,116117.801784042
"22","10_28",10,120417.400944294,120700.355562155,19739.6152715358,19762.7935579572,328216.854166667,0.891032859916427,10587.2708333334,338804.125,24343.1627363696,0.170196070321004,116117.801784042
"23","10_29",10,125026.816019726,125236.522185475,25047.7546541613,25068.7520211265,407603.921153846,0.854455648906637,14531,422134.921153846,17488.9877825629,0.215890687181195,116117.801784042
"24","10_3",10,113849.388009275,114155.229212793,17947.5078736047,17971.598499044,308066,0.903523357919936,8422.33333333334,316488.333333333,27870.84474746,0.154770398878787,116117.801784042
"25","10_30",10,112783.127297157,112934.412511506,19871.4128613186,19884.7359689913,289293.125,0.881035195291131,10407.375,299700.5,22069.4253934403,0.171246231529368,116117.801784042
"26","10_31",10,115823.956603741,116018.226910021,19176.3643604467,19192.4397797844,341178.933333333,0.883612665998824,9482.91666666666,350661.85,22616.5686721881,0.165284215554467,116117.801784042
"27","10_32",10,118403.022417613,118522.100214211,18871.4517798538,18880.9388948795,368414.798076923,0.897499499284624,12552.375,380967.173076923,26101.7847590487,0.162601587394796,116117.801784042
"28","10_33",10,117232.801475875,117429.434822865,20905.1974557479,20922.7221444284,345746.046182266,0.874681192898293,13300.375,359046.421182266,20792.3721419506,0.180185310288089,116117.801784042
"29","10_34",10,113886.363003176,114115.664405196,19567.6618861092,19587.3509689566,298638.430357143,0.885001561316845,10152.5875,308791.017857143,22918.0037553641,0.168685168578936,116117.801784042
"30","10_35",10,113311.554966294,113539.699036696,22047.7977860808,22069.9823945301,335593.696428571,0.855976858990965,11030.25,346623.946428571,17699.2326942458,0.190065451252481,116117.801784042
"31","10_36",10,117196.411524215,117314.275833492,20736.0442661521,20746.4687549209,379534.612068966,0.880438724462191,12597.75,392132.362068966,21951.8219909907,0.178667425977505,116117.801784042
"32","10_37",10,114238.243779906,114314.810967426,18779.4058041601,18785.6981165511,321921.875,0.893030853682486,12241.625,334163.5,24895.1973289252,0.161781379150538,116117.801784042
"33","10_38",10,120364.643675671,120445.317029341,21221.8200244356,21228.9307031489,312984.604166667,0.880677413027814,10575.125,323559.729166667,22009.0773447705,0.18282236123132,116117.801784042
"34","10_39",10,116426.042686992,116582.214441099,19185.5145303823,19198.3777665109,304451.583333333,0.883736551601737,12155.9166666666,316607.5,22651.4434248669,0.165335353163302,116117.801784042
"35","10_4",10,120957.754773283,121038.825654498,23747.2144474617,23755.1712962182,440298.825,0.853661103624856,14531,454829.825,17395.357448122,0.204578203610834,116117.801784042
"36","10_40",10,117680.636843302,117759.511264779,19414.6331486967,19421.1383032263,321040.737068966,0.882024317395617,14400.375,335441.112068966,22294.3953907331,0.16725375441869,116117.801784042
"37","10_41",10,117351.114636931,117469.134530968,19912.1221655411,19922.1324496248,349087.296182266,0.881500225804321,9959.125,359046.421182266,22175.1660790803,0.171568287924331,116117.801784042
"38","10_42",10,117352.041186544,117548.874533049,20724.9020424834,20742.2755907121,294844.379761905,0.865857890595362,10270.7916666667,305115.171428572,19228.7915221528,0.178631314682386,116117.801784042
"39","10_43",10,119400.768328336,119560.930324752,20445.1375655154,20458.8453361238,359937.850320513,0.884130716668151,10587.2708333334,370525.121153846,22738.6366766877,0.176190429217508,116117.801784042
"40","10_44",10,117131.571368731,117367.406747326,18461.4819739231,18480.0580128073,390004.725,0.896026145736145,12461.625,402466.35,25663.8159746459,0.159149223709702,116117.801784042
"41","10_45",10,117182.122051804,117299.971990173,18719.5297789722,18728.9405192963,295258.5625,0.897077723653828,10513.25,305771.8125,25982.6034668881,0.161292585904518,116117.801784042
"42","10_46",10,115574.199911772,115651.662512249,19458.4357351083,19464.95556633,294431.958333333,0.884180731833265,9058.5,303490.458333333,22765.0112460655,0.16763110623237,116117.801784042
"43","10_47",10,117432.308768245,117550.410319135,19238.2267803632,19247.8982816597,315139.06875,0.892084176016971,9256.5,324395.56875,24642.3817245262,0.1657618210639,116117.801784042
"44","10_48",10,113012.498062217,113202.052738604,19821.8821649586,19838.4987175999,312889.270833333,0.886298487768462,12463.2291666666,325352.5,23221.1792371385,0.170848038912207,116117.801784042
"45","10_49",10,110287.876623186,110472.861320642,20268.8025697353,20285.7937727943,294707.318452381,0.878406610290424,10570.7708333334,305278.089285714,21520.6870892019,0.174700118854491,116117.801784042
