"","N","layer_N","y_bar","y_bar1","rmse","rmse1","rang","R_squared","y_min","y_max","sum_f","nrmse_mean_not_sum","y_bar2"
"1","10_1",10,43712.4384890576,44096.6298429653,9550.81855741156,9592.69810883623,168625.325,0.812445960993784,12069.75,180695.075,4427.09619337032,0.229318620393196,41831.3091731859
"2","10_10",10,42320.1874883139,42775.6885278163,7968.44493645782,8011.21318425605,161731.35,0.866311759540482,14880.6428571429,176611.992857143,6609.69126150525,0.19151237058082,41831.3091731859
"3","10_100",10,41826.3130114006,42235.1723761259,8301.51677834372,8341.992477979,202498.017857143,0.865647955229338,12069.75,214567.767857143,6578.43774389768,0.199419827943761,41831.3091731859
"4","10_11",10,41391.0084838433,41795.6126723462,7617.06751878556,7654.20604963769,178846.616666666,0.883043969216047,12069.75,190916.366666666,7708.77642244068,0.182977922539993,41831.3091731859
"5","10_12",10,43357.1982388675,43781.0222685729,9518.53728416364,9564.94680984045,143007.7,0.810141978874911,14829.1,157836.8,4356.70273781222,0.228655210628015,41831.3091731859
"6","10_13",10,41225.7218386625,41588.0572845102,8577.28042640214,8614.89109343996,140505.0625,0.850029926887033,12069.75,152574.8125,5792.69295030728,0.205943616485285,41831.3091731859
"7","10_14",10,41318.0096323215,41681.1562013556,8011.29606896848,8046.42494129307,149235.533333334,0.861781725529474,12069.75,161305.283333334,6372.10185747855,0.192354126617937,41831.3091731859
"8","10_15",10,38821.8667372039,39163.0745503238,8987.64218673234,9027.05225623405,152661.85,0.836743368175915,12069.75,164731.6,5238.0825986735,0.215796551307088,41831.3091731859
"9","10_16",10,42827.3179078607,43245.9622666863,7654.59917307931,7691.92069699242,146614.126785714,0.879229519802235,14065.9375,160680.064285714,7433.05266525462,0.183879511519639,41831.3091731859
"10","10_17",10,42305.5364244972,42719.0802800642,8829.27777312216,8872.32667667598,154556.063095237,0.828236505000936,13832.3035714286,168388.366666666,4923.21998693938,0.212097752904258,41831.3091731859
"11","10_18",10,42537.8753378831,42911.743382845,8085.11181614565,8120.56436443176,192108.033333334,0.861323893176886,12069.75,204177.783333334,6347.69059351797,0.19412646950187,41831.3091731859
"12","10_19",10,45314.1657079017,45801.8915619006,9255.44056662267,9305.11637900409,158069.45,0.846041334227618,16676.55,174746,5605.15484193664,0.222443824085925,41831.3091731859
"13","10_2",10,41465.7089915132,41830.1536994464,7378.56738958797,7410.92179885406,148606.058333334,0.887201412740916,12069.75,160675.808333334,8038.39716306551,0.177162081353278,41831.3091731859
"14","10_20",10,44597.4354946074,44989.4051425092,8647.23427110974,8685.15167998535,151189.958333333,0.877406251070556,12069.75,163259.708333333,7314.47725862586,0.2076232336891,41831.3091731859
"15","10_21",10,42836.7781050451,43255.5149389165,8345.64710048135,8386.33796629786,164108.725,0.858777047478669,12069.75,176178.475,6208.70297512923,0.20047993075181,41831.3091731859
"16","10_22",10,43161.748103115,43583.6615743087,9182.42216310343,9227.19289251612,146760.035714286,0.819966426508949,14959.2142857143,161719.25,4650.16444006346,0.220581021127371,41831.3091731859
"17","10_23",10,41625.3282464287,41991.1758579696,9571.91684924865,9613.8889149424,202321.395833333,0.850715769846328,11519.75,213841.145833333,5824.00107424585,0.229825198038625,41831.3091731859
"18","10_24",10,40991.4714861038,41351.7480909622,7860.75257387462,7895.22132539317,145767.05,0.86819706766383,12069.75,157836.8,6732.00047544723,0.188739522655295,41831.3091731859
"19","10_25",10,41591.1576511857,41956.7049352293,8694.55957778908,8732.6845042301,155179.75,0.855198776907209,12069.75,167249.5,6035.95143280722,0.208759531480975,41831.3091731859
"20","10_26",10,40334.5597506108,40808.6192187865,7698.14697983308,7743.25369581945,147411.523809524,0.865641417766751,13519.3928571428,160930.916666667,6565.18243972682,0.185106654533847,41831.3091731859
"21","10_27",10,39581.8164612884,40007.8438400303,9124.50353603927,9173.4765830236,214515.4,0.858943216048649,12069.75,226585.15,6211.13041023099,0.219296903786694,41831.3091731859
"22","10_28",10,43729.6657287234,44157.1306918585,10063.1843637886,10112.2494248562,224600.357142857,0.856875056134862,12730.1428571428,237330.5,6112.62725201876,0.241738774729486,41831.3091731859
"23","10_29",10,43607.7547273921,44034.0279896345,10795.839424452,10848.476691294,145113.401190476,0.760183499201872,16127.8071428572,161241.208333333,3236.42180626451,0.259338684485829,41831.3091731859
"24","10_3",10,41829.4848216187,42238.3751913315,8096.80529611498,8136.28288411743,178846.616666666,0.876970599423605,12069.75,190916.366666666,7277.82934661632,0.194502229189921,41831.3091731859
"25","10_30",10,39767.4121763144,40156.1454331699,7977.45473192443,8016.3504024633,158952.177083333,0.888703621166264,11243.2604166666,170195.4375,8152.70367930172,0.191635178551902,41831.3091731859
"26","10_31",10,42331.1387497618,42703.1897739296,8196.40264490784,8232.34319429649,160611.916666667,0.882801606608509,11771.8333333334,172383.75,7698.25605834119,0.196798602697653,41831.3091731859
"27","10_32",10,41886.8175184562,42337.6541062282,8525.06114563414,8570.81686465823,227051.458333333,0.870934591906974,13277,240328.458333333,6882.96962656966,0.204889998282726,41831.3091731859
"28","10_33",10,41588.7013019068,41995.2379715247,8392.23765364939,8433.15568099388,166141.899305555,0.862297634729897,15175.6840277778,181317.583333333,6393.54221209136,0.201599133464357,41831.3091731859
